,Varname,House,Date,Topic,Subcode,L1,L2,L3,L4,C2,C3,C4,C5,Other,Index,Source,N,Totcheck,Agenda1,Agenda2,Scope,raceoutcome,racespenddo,raceaa,aidtoblacks,EqualOpp,Added,date,f_date,period,value,IMMKEPT,IMMLEGAL,CNNIMM,PSRAIMM,SPIMMIG,IMMRATE,mood,tone,pro,anti,stories,prev_mood,mood_diff,pro_max,anti_max,dom_pro,dom_anti,surge_pro_abs,surge_pro,surge_anti_abs,surge_anti,tone_surge,tone_surge_abs,tone_max_diff,tone_dom_diff,surge_diff,surge_diff_abs
82,SPIMMIG,NES,11/15/02,10,22,69.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,24,90.79,NES2002.V023056 ,736,100.0,530,1201,1,0,0,0,0,0,0,2002-11-15,2002.87123288,565,0.9079,0,0,0,0,1,0,0.561068656983,0.157646533601,0.502040838624,0.344394305022,271.0,0.476597546618,0.0844711103652,0.0907388057283,0.0850056499679,0.0241042664555,0.026420449361,3.82772373276,0.0146268357825,5.27329082453,0.020412048816,-0.0281775114349,-8.379401779,0.00573315576037,-0.00231618290548,-0.00578521303345,-1.44556709177
26,IMMKEPT,GALLUP,6/12/03,120,124,13.0,37.0,,,,,,47.0,3,51.55,USGALLUP.03JE012.R15,1385,100.0,530,0,0,0,0,0,0,0,0,2003-06-12,2003.44383562,595,0.5155,1,0,0,0,0,0,0.5155,0.115213438664,0.489373446429,0.374160007764,280.0,0.484978488296,0.0305215117045,0.0879052000998,0.0895289054922,0.0145414857448,0.0239553261903,7.91937002131,0.014380209691,10.1321051022,0.0197345670081,-0.140229484892,-22.405022815,-0.00162370539236,-0.00941384044549,-0.00535435731704,-2.2127350809
52,IMMLEGAL,CBSNYT,7/13/03,120,124,9.0,37.0,0.0,0.0,0.0,0.0,0.0,48.0,6,48.94,USCBSNYT.080203.R030,3092,100.0,530,0,0,0,0,0,0,0,0,2003-07-13,2003.52876712,599,0.4894,0,1,0,0,0,0,0.493869850229,0.133456751279,0.500653710547,0.367196959267,247.0,0.486169356066,0.00770049416354,0.0813792848676,0.0932271132194,0.00594705316414,0.0324991868176,5.5381705358,0.0169051818189,9.54390144732,0.0358151575711,-0.0684411804695,-11.251829487,-0.0118478283518,-0.0265521336534,-0.0189099757522,-4.00573091152
74,PSRAIMM,PSRA,7/14/03,120,124,6.0,13.0,0.0,0.0,0.0,0.0,31.0,46.0,4,19.79,USPSRA.110503.R28NF1,2528,100.0,530,0,0,0,0,0,0,0,0,2003-07-14,2003.53150685,600,0.1979,0,0,0,1,0,0,0.467940061521,0.145572191459,0.506879674756,0.361307483298,242.0,0.486463808749,-0.0185237472279,0.0807902704029,0.0915316442519,0.00305670272569,0.0318384324147,10.3959546164,0.039175312125,7.9589949095,0.0302079284049,-0.0439839075822,-6.473871456,-0.010741373849,-0.028781729689,0.00896738372002,2.43695970685
53,IMMLEGAL,CBSNYT,1/12/04,120,124,16.0,34.0,0.0,0.0,0.0,0.0,0.0,45.0,5,52.63,USCBSNYT.011704.R73,1022,100.0,530,0,0,0,0,0,0,0,0,2004-01-12,2004.03005464,626,0.5263,0,1,0,0,0,0,0.530769850229,0.282101286562,0.550154558622,0.26805327206,352.0,0.493427013596,0.0373428366333,0.0785932555964,0.0474636276047,0.00700729633101,0.00293893520037,16.9747173603,0.0386917980611,5.73192536902,0.00982834197332,0.0566994833825,42.949202075,0.0311296279917,0.00406836113064,0.0288634560877,11.2427919913
27,IMMKEPT,GALLUP,6/9/04,120,124,14.0,33.0,,,,,,49.0,4,48.96,USGALLUP.04JUE09.R33,2250,100.0,530,0,0,0,0,0,0,0,0,2004-06-09,2004.43715847,647,0.4896,1,0,0,0,0,0,0.4896,0.314734446599,0.588011120857,0.273276674258,217.0,0.498128080418,-0.0085280804183,0.0869906716205,0.0599359895011,0.00218977180791,0.0117268305448,2.95963479104,0.0243239749646,0.537759775079,0.00527064015665,0.0628707482172,4.323995523,0.0270546821194,-0.00953705873684,0.0190533348079,2.42187501596
83,SPIMMIG,NES,10/15/04,10,22,53.0,,,,,,,11.0,35,82.81,computed from nes04.dta,1212,99.0,530,1201,1,0,0,0,0,0,0,2004-10-15,2004.78688525,665,0.8281,0,0,0,0,1,0,0.481268656983,0.279416302527,0.56398414425,0.284567841723,220.0,0.501746806861,-0.0204781498782,0.075767975966,0.0741016110549,0.00121065699034,0.033964707092,5.86822835902,0.0245811659691,3.14371302052,0.0132026854688,0.059150729571,16.096878527,0.0016663649111,-0.0327540501016,0.0113784805003,2.72451533851
67,IMMRATE,NES,10/15/04,120,124,3.0,8.0,0.0,0.0,0.0,0.0,27.0,20.0,43,18.97,computed from nes04.dta,1212,101.0,530,0,0,0,0,0,0,0,0,2004-10-15,2004.78688525,665,0.1897,0,0,0,0,0,1,0.537375999262,0.279416302527,0.56398414425,0.284567841723,220.0,0.501746806861,0.0356291924013,0.075767975966,0.0741016110549,0.00121065699034,0.033964707092,5.86822835902,0.0245811659691,3.14371302052,0.0132026854688,0.059150729571,16.096878527,0.0016663649111,-0.0327540501016,0.0113784805003,2.72451533851
28,IMMKEPT,GALLUP,6/6/05,120,124,16.0,34.0,,,,,,46.0,4,52.08,USGALLUP.05JN006.R15,2264,100.0,530,0,0,0,0,0,0,0,0,2005-06-06,2005.42739726,698,0.5208,1,0,0,0,0,0,0.5208,0.107076364495,0.473274780818,0.366198416323,291.0,0.508283239252,0.0125167607485,0.0784590289344,0.0869109753644,0.0238643721643,0.0354749930908,8.56624219621,0.0254281112566,8.13483174517,0.0242127189411,0.0324861228574,12.437071417,-0.00845194643001,-0.0116106209265,0.00121539231547,0.43141045104
54,IMMLEGAL,CBS,7/29/05,120,124,13.0,32.0,0.0,0.0,0.0,0.0,0.0,51.0,4,46.88,USCBS.080705.R32,1222,100.0,530,0,0,0,0,0,0,0,0,2005-07-29,2005.57260274,705,0.4688,0,1,0,0,0,0,0.473269850229,0.156424035326,0.50603827195,0.349614236624,258.0,0.509885467958,-0.0366156177286,0.0922695092926,0.114318139619,0.0166793549863,0.0695404014515,11.289563954,0.0492593050195,3.32503561124,0.0243901519542,0.0491511063153,9.140978772,-0.0220486303266,-0.0528610464653,0.0248691530653,7.96452834278
